text,assistant
"Of course. Can I get your phone number first, please?","[PHONE_NUMBER]."
"Thank you. And the name, please?","[PERSON_NAME]."
"Thank you. And what would you like?","Can we get a [ITEM_SIZE] pizza? Half country special and half cheese and garlic, please."
"Okay. Would you like anything else?","No, but can we please make that nut free as best as we can?"
"You'd like it nut free. Okay. So I'll just add clean cutters for you and I'll write down. That's okay. It's a total of $24, and it should be ready for you to pick up in 20 minutes.","Beautiful. Thank you."
"Certainly. Can I get your phone number first, please?","[PHONE_NUMBER]. Should I give you my husband's number? [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER]."
"Okay.","[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] for [PERSON_NAME]."
"It. Thank you. And what would you like?","I need to order a couple, and I'm a bit confused, so help me out if I muck it up. I need the two large pizzas. So I need four large pizzas and a vegan pizza. So we'll get the vegan."
"Okay.","And then we'll get one country special with anchovies, no pineapple."
"Okay. That's a large. Just to confirm.","Correct."
"Okay.","Yeah, we're going to get two of the large deals. So two large pieces for 41. Two of those. So one country special and the next one half lamb, half [LOCATION]."
"And half [LOCATION].","And then half spinach and bocconcini, half pumpkin."
"And half pumpkin.","Yeah. And the last one, half margarita, half cheese and garlic pizza."
"Okay. Would you like anything else? That's four. Would you like anything else?","I don't think so. Can you give me a price?"
"Yes, of course I can. Just to confirm, the vegan veggie is a medium gluten free.","Yes. Correct."
"Okay. So you've got a medium gluten free vegan veggie, a large country special with added anchovies and pineapple removed, large half roast lamb, half [LOCATION], large, half spinach and bocconcini, half pumpkin and a large half margarita, half rich cheese.","Perfect."
"Thank you. That's 106, and it should be ready for you to pick up in 20 minutes.","20. Thank you so much."
"Yeah, that one.","Not sure how the driver took it. Let me transfer you to the front desk and they'll sort it out for you."
"My name is [PERSON_NAME] [PERSON_NAME]. I just ordered the pizza an hour ago online and it just turned up now. The box has been dropped. There's no topping on part of the pizza. I just paid $37 for a pizza that's inedible, basically.","So was it a [ITEM_SIZE] roast lamb?"
"Sorry? Yeah, that's right.","And it looks like it's been dropped."
"And there's not as much this has been dropped. It's got a flat side on one side and all the meat and everything on the toppings has slid sideways across the pizza.","Oh, I'm so sorry about that. I'll just be back in one moment. Sorry."
"Yeah, well, I'm not waiting another hour for it.","Hi, we can make that one again if you would like and we can send it to you as soon as possible."
"I want to be a lot less because it was ordered an hour ago now. Wanted to have it here by 7:30 at the latest.","Do we just double check how long it would be if we delivered it to you? Yeah, no worries."
"I can't hear a word you're saying. Only got one ear that works.","Hi, so I just checked and it would probably be a bit less than half an hour."
"Yeah.","Hey, so just a moment, please. You called it Leopold Store, right?"
"Yes, I did. Yeah.","So I just wanted to remind you, don't forget to collect your $5 on pickup because you paid for delivery. Just collect your $5 on pickup."
"A $5 note or something or do I put it back on my card?","No, they're going to give you cash."
"Okay, sure. No worries. I can do that.","Thank you."
"Yes. [PHONE_NUMBER].","Yeah. [PHONE_NUMBER]. Okay. One moment. And that's for [PERSON_NAME]?"
